State,Year,Quarter,District,Code,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,AN02,4716,13524056.78,2867.696519,2955,26253
Andaman & Nicobar Islands,2019,4,South Andaman,AN03,27843,110930312.2,3984.136487,22202,139646
Andaman & Nicobar Islands,2020,1,Nicobars,AN01,2911,12099543.77,4156.490475,879,11613
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,AN02,5674,14697371.62,2590.30166,3315,30444
Andaman & Nicobar Islands,2020,1,South Andaman,AN03,32713,134679396.9,4116.999263,24174,151529
Andaman & Nicobar Islands,2020,2,Nicobars,AN01,3895,14341508.6,3682.030451,984,17009
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,AN02,10979,22447714.06,2044.604614,4100,56992
Andaman & Nicobar Islands,2020,2,South Andaman,AN03,48088,132855778.7,2762.763657,27626,231071
Andaman & Nicobar Islands,2020,3,Nicobars,AN01,5413,22166453.75,4095.040413,1147,21227
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,AN02,16747,33486883.37,1999.57505,5355,76553
Andaman & Nicobar Islands,2020,3,South Andaman,AN03,95323,282366109.2,2962.203342,34833,417785
Andaman & Nicobar Islands,2020,4,Nicobars,AN01,8688,35218871.04,4053.737459,1412,35972
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,AN02,29349,68941322.39,2349.017765,7076,125915
Andaman & Nicobar Islands,2020,4,South Andaman,AN03,186494,523122462.9,2805.036424,43908,725321
Andaman & Nicobar Islands,2021,1,Nicobars,AN01,10302,39075266.99,3792.978741,1573,45067
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,AN02,27358,75027255.28,2742.424712,7833,121680
Andaman & Nicobar Islands,2021,1,South Andaman,AN03,207092,669604045.1,3233.365099,48352,837589
Andaman & Nicobar Islands,2021,2,Nicobars,AN01,15307,48020606.75,3137.166443,1699,381815
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,AN02,39200,90233388.79,2301.872163,8493,596182
Andaman & Nicobar Islands,2021,2,South Andaman,AN03,286907,760893020.6,2652.05457,51903,1270226
Andhra Pradesh,2018,1,Anantapur,AP01,638664,788830646,1235.12621,241192,0
Andhra Pradesh,2018,1,Chittoor,AP02,830324,1009621878,1215.937246,309541,0
Andhra Pradesh,2018,1,East Godavari,AP03,943935,1235785516,1309.184971,350356,0
Andhra Pradesh,2018,1,Guntur,AP04,815932,1108686589,1358.797779,317065,0
Andhra Pradesh,2018,1,Krishna,AP05,863935,1284255180,1486.518291,323673,0
Andhra Pradesh,2018,1,Kurnool,AP06,679623,764905298.7,1125.484715,240133,0
Andhra Pradesh,2018,1,Prakasam,AP07,534757,748990775.9,1400.618928,189949,0
Andhra Pradesh,2018,1,Spsr Nellore,AP08,531612,676643237.8,1272.814078,194475,0
Andhra Pradesh,2018,1,Srikakulam,AP09,458921,587778028.9,1280.782594,143839,0
Andhra Pradesh,2018,1,Visakhapatnam,AP10,1256469,1749966197,1392.765119,497187,0
Andhra Pradesh,2018,1,Vizianagaram,AP11,420990,505783445.8,1201.414394,128905,0
Andhra Pradesh,2018,1,West Godavari,AP12,577090,853547668.8,1479.054686,213335,0
Andhra Pradesh,2018,1,Ysr,AP13,487333,681481931.1,1398.390692,186800,0
Andhra Pradesh,2018,2,Anantapur,AP01,937023,1690366079,1803.975013,326383,0
Andhra Pradesh,2018,2,Chittoor,AP02,1185723,1990419126,1678.654396,414306,0
Andhra Pradesh,2018,2,East Godavari,AP03,1221677,2168914928,1775.358731,454398,0
Andhra Pradesh,2018,2,Guntur,AP04,1088101,2108475812,1937.757443,420326,0
Andhra Pradesh,2018,2,Krishna,AP05,1224987,2448141593,1998.504142,431965,0
Andhra Pradesh,2018,2,Kurnool,AP06,968439,1531888666,1581.812242,319313,0
Andhra Pradesh,2018,2,Prakasam,AP07,739991,1571167562,2123.225231,253458,0
Andhra Pradesh,2018,2,Spsr Nellore,AP08,780454,1542057934,1975.847307,261049,0
